model,year,mileage,description,price,price_status,source_url,scrape_date
ام وی ام، X33 کراس,1404,صفر کیلومتر,اتوماتیک,توافقی,negotiable,https://bama.ir/car/detail-8xsa9vtk-mvm-x33cross-at-1404,2025-11-10
ام وی ام، X33 کراس,1404,صفر کیلومتر,اتوماتیک,1540000000,fixed,https://bama.ir/car/detail-sp8dq0hl-mvm-x33cross-at-1404,2025-11-10
ام وی ام، X33 کراس,1404,صفر کیلومتر,اتوماتیک,1439900000,fixed,https://bama.ir/car/detail-6wfhs0md-mvm-x33cross-at-1404,2025-11-10
ام وی ام، X55 PRO,1404,صفر کیلومتر,IE,توافقی,negotiable,https://bama.ir/car/detail-wgnlxk7i-mvm-x55pro-ie-1404,2025-11-10
ام وی ام، X55 PRO,1401,"70,000 km",IE اسپرت,1650000000,fixed,https://bama.ir/car/detail-fq0txyeh-mvm-x55pro-iesport-1401,2025-11-10
ام وی ام، X55 PRO,1404,صفر کیلومتر,IE,1797900000,fixed,https://bama.ir/car/detail-swlpfbtc-mvm-x55pro-ie-1404,2025-11-10
ام وی ام، X55 PRO,1404,صفر کیلومتر,IE,2120000000,fixed,https://bama.ir/car/detail-itlkspyb-mvm-x55pro-ie-1404,2025-11-10
ام وی ام، آریزو 5ev,2024,صفر کیلومتر,48 کیلووات,توافقی,negotiable,https://bama.ir/car/detail-2rj5xksv-mvm-arrizo5ev-kw48-2024,2025-11-10
اپل، کورسا,2024,صفر کیلومتر,1.2 لیتر توربو اتوماتیک,توافقی,negotiable,https://bama.ir/car/detail-yxsumqlj-opel-corsa-1.2literturbo-2024,2025-11-10
اکستریم، LX (SX),1403,"23,000 km",1.6 لیتر توربو,3100000000,fixed,https://bama.ir/car/detail-0s1uni6j-xtrim-lx-1.6literturbo-1403,2025-11-10
اکستریم، TXL (TX),1404,صفر کیلومتر,2.0 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-gmy167fz-xtrim-txl-2.0literturbo-1404,2025-11-10
اکستریم، TXL (TX),1403,"28,000 km",2.0 لیتر توربو,4000000000,fixed,https://bama.ir/car/detail-ujpgzt6s-xtrim-txl-2.0literturbo-1403,2025-11-10
اکستریم، TXL (TX),1404,صفر کیلومتر,2.0 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-itizusly-xtrim-txl-2.0literturbo-1404,2025-11-10
اکستریم، VX (QX),1403,"15,000 km",2.0 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-kj0daavy-xtrim-vx-2.0literturbo-1403,2025-11-10
اکستریم، VX (QX),1404,صفر کیلومتر,2.0 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-jvhlvoyp-xtrim-vx-2.0literturbo-1404,2025-11-10
اکستریم، VX (QX),1403,"4,000 km",2.0 لیتر توربو,5650000000,fixed,https://bama.ir/car/detail-1etqln2b-xtrim-vx-2.0literturbo-1403,2025-11-10
اکستریم، VX (QX),1403,400 km,2.0 لیتر توربو,6000000000,fixed,https://bama.ir/car/detail-zx0sydei-xtrim-vx-2.0literturbo-1403,2025-11-10
اکستریم، VX (QX),1404,"11,000 km",2.0 لیتر توربو,5950000000,fixed,https://bama.ir/car/detail-rvqihaz3-xtrim-vx-2.0literturbo-1404,2025-11-10
اکستریم، VX (QX),1404,صفر کیلومتر,2.0 لیتر توربو,6750000000,fixed,https://bama.ir/car/detail-xzffzheq-xtrim-vx-2.0literturbo-1404,2025-11-10
اکستریم، VX (QX),1403,صفر کیلومتر,2.0 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-6kmauvmd-xtrim-vx-2.0literturbo-1403,2025-11-10
اکستریم، VX (QX),1403,صفر کیلومتر,2.0 لیتر توربو,5800000000,fixed,https://bama.ir/car/detail-jsyy5acz-xtrim-vx-2.0literturbo-1403,2025-11-10
اکستریم، VX (QX),1404,صفر کیلومتر,2.0 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-t2pdrkin-xtrim-vx-2.0literturbo-1404,2025-11-10
اکستریم، VX (QX),1404,صفر کیلومتر,2.0 لیتر توربو,5115000000,fixed,https://bama.ir/car/detail-5utrakmf-xtrim-vx-2.0literturbo-1404,2025-11-10
ایرس، HM5 EREV,2024,صفر کیلومتر,1.5 لیتر توربو,6200000000,fixed,https://bama.ir/car/detail-ydfuirlv-eres-hm5-erev-2024,2025-11-10
ایرس، HM5 EREV,2025,صفر کیلومتر,1.5 لیتر توربو,4000000000,fixed,https://bama.ir/car/detail-rs8uu1gd-eres-hm5-erev-2025,2025-11-10
ایرس، HM5 EREV,2024,صفر کیلومتر,1.5 لیتر توربو,توافقی,negotiable,https://bama.ir/car/detail-zmyignr9-eres-hm5-erev-2024,2025-11-10
اینرودز، C35,1404,صفر کیلومتر,دنده ای,توافقی,negotiable,https://bama.ir/car/detail-rddjmtqn-inroads-c35-1404,2025-11-10
اینرودز، C35,1404,صفر کیلومتر,دنده ای,توافقی,negotiable,https://bama.ir/car/detail-e569kdbw-inroads-c35-1404,2025-11-10
اینفینیتی، QX70,2015,"130,000 km",اتوماتیک,توافقی,negotiable,https://bama.ir/car/detail-hh3a7s8m-infiniti-qx70-2015,2025-11-10
ب ام و، X1,2014,"146,000 km",sDrive 18i,3100000000,fixed,https://bama.ir/car/detail-g8neehvz-bmw-x1-18-2014,2025-11-10
ب ام و، X1,2014,"108,000 km",xDrive 28i,توافقی,negotiable,https://bama.ir/car/detail-avjsniuc-bmw-x1-28-2014,2025-11-10
ب ام و، X2,2025,صفر کیلومتر,sDrive 18i,14500000000,fixed,https://bama.ir/car/detail-umdl4obj-bmw-x2-sdrive18i-2025,2025-11-10
ب ام و، X2,2025,صفر کیلومتر,sDrive 25i,11890000000,fixed,https://bama.ir/car/detail-mt8vbaxg-bmw-x2-sdrive25i-2025,2025-11-10
ب ام و، X2,2025,صفر کیلومتر,sDrive 18i,13450000000,fixed,https://bama.ir/car/detail-ay2i7gaq-bmw-x2-sdrive18i-2025,2025-11-10
ب ام و، X2,2025,صفر کیلومتر,sDrive 18i,توافقی,negotiable,https://bama.ir/car/detail-47jm9clz-bmw-x2-sdrive18i-2025,2025-11-10
ب ام و، X3,2016,"117,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-4nstpdm1-bmw-x3-28-2016,2025-11-10
ب ام و، X3,2015,"125,000 km",28,5600000000,fixed,https://bama.ir/car/detail-lteiprz9-bmw-x3-28-2015,2025-11-10
ب ام و، X3,2014,"82,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-pywisqtx-bmw-x3-28-2014,2025-11-10
ب ام و، X3,2015,"125,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-7ruhdssp-bmw-x3-28-2015,2025-11-10
ب ام و، X3,2013,"130,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-0roze9d5-bmw-x3-28-2013,2025-11-10
ب ام و، X3,2016,"20,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-mnc86kuj-bmw-x3-28-2016,2025-11-10
ب ام و، X3,2014,"170,000 km",28,4250000000,fixed,https://bama.ir/car/detail-si16dvfb-bmw-x3-28-2014,2025-11-10
ب ام و، X3,2015,"100,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-waly2qnr-bmw-x3-28-2015,2025-11-10
ب ام و، X4,2017,"23,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-robxien4-bmw-x4-28-2017,2025-11-10
ب ام و، X4,2017,"19,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-vwlas8di-bmw-x4-28-2017,2025-11-10
ب ام و، X4,2017,"70,000 km",28,10400000000,fixed,https://bama.ir/car/detail-tq3u5yvo-bmw-x4-28-2017,2025-11-10
ب ام و، X4,2016,"130,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-ig6n93yc-bmw-x4-28-2016,2025-11-10
ب ام و، X4,2016,"45,000 km",28,10250000000,fixed,https://bama.ir/car/detail-cputh1ku-bmw-x4-28-2016,2025-11-10
ب ام و، X4,2016,"43,000 km",28,9700000000,fixed,https://bama.ir/car/detail-fd2vauiw-bmw-x4-28-2016,2025-11-10
ب ام و، X4,2016,"49,000 km",28,توافقی,negotiable,https://bama.ir/car/detail-tjopy9me-bmw-x4-28-2016,2025-11-10
ب ام و، X4,2017,صفر کیلومتر,28,توافقی,negotiable,https://bama.ir/car/detail-qebutx50-bmw-x4-28-2017,2025-11-10
ب ام و، X6,2012,"90,000 km",50,توافقی,negotiable,https://bama.ir/car/detail-2cupetge-bmw-x6-50-2012,2025-11-10
ب ام و، Z4,2014,"80,000 km",20,توافقی,negotiable,https://bama.ir/car/detail-0vwl8txb-bmw-z4-20-2014,2025-11-10
ب ام و، iX1,2025,صفر کیلومتر,eDrive 25L,6400000000,fixed,https://bama.ir/car/detail-cksfjqnn-bmw-ix1-edrive25l-2025,2025-11-10
ب ام و، iX1,2025,صفر کیلومتر,eDrive 25L,توافقی,negotiable,https://bama.ir/car/detail-xzponvdw-bmw-ix1-edrive25l-2025,2025-11-10
ب ام و، iX1,2025,صفر کیلومتر,eDrive 25L,توافقی,negotiable,https://bama.ir/car/detail-urc6p7kj-bmw-ix1-edrive25l-2025,2025-11-10
ب ام و، iX1,2025,800 km,eDrive 25L,7800000000,fixed,https://bama.ir/car/detail-viniyjxc-bmw-ix1-edrive25l-2025,2025-11-10
ب ام و، iX1,2025,صفر کیلومتر,eDrive 25L,توافقی,negotiable,https://bama.ir/car/detail-pfwqa5n1-bmw-ix1-edrive25l-2025,2025-11-10
ب ام و، iX1,2025,صفر کیلومتر,eDrive 25L,توافقی,negotiable,https://bama.ir/car/detail-sxopmmwe-bmw-ix1-edrive25l-2025,2025-11-10
ب ام و، iX3,2025,صفر کیلومتر,Leading,توافقی,negotiable,https://bama.ir/car/detail-sc4p8wbd-bmw-ix3-leading-2025,2025-11-10
ب ام و، سری 2 کروک,2017,"17,000 km",230i,توافقی,negotiable,https://bama.ir/car/detail-zhscky9q-bmw-2seriesconvertible-230i-2017,2025-11-10
ب ام و، سری 3 سدان,2018,"46,000 km",320i,5950000000,fixed,https://bama.ir/car/detail-8nyj6u5f-bmw-3seriessedan-320i-2018,2025-11-10
ب ام و، سری 3 سدان,2005,"22,000 km",318i,توافقی,negotiable,https://bama.ir/car/detail-0mtdxds7-bmw-3seriessedan-318i-2005,2025-11-10
ب ام و، سری 3 سدان,2013,"180,000 km",328i,توافقی,negotiable,https://bama.ir/car/detail-yklsb6cp-bmw-3seriessedan-328i-2013,2025-11-10
ب ام و، سری 4 کروک,2015,"60,000 km",428i,توافقی,negotiable,https://bama.ir/car/detail-albrmg69-bmw-4seriesconvertible-428i-2015,2025-11-10
ب ام و، سری 4 گرن کوپه,2015,"70,000 km",428i,7250000000,fixed,https://bama.ir/car/detail-fujozmnb-bmw-4seriesgrancoupe-428i-2015,2025-11-10
ب ام و، سری 5 سدان,2015,"16,000 km",528i,توافقی,negotiable,https://bama.ir/car/detail-jtrcoxas-bmw-5seriessedan-528i-2015,2025-11-10
ب ام و، سری 5 سدان,2014,"136,000 km",528i,5800000000,fixed,https://bama.ir/car/detail-d39hi7m0-bmw-5seriessedan-528i-2014,2025-11-10
ب ام و، سری 5 سدان,2007,"220,000 km",530i,2600000000,fixed,https://bama.ir/car/detail-tj6nb1hp-bmw-5seriessedan-530i-2007,2025-11-10
ب ام و، سری 5 سدان,2014,"5,000 km",528i,توافقی,negotiable,https://bama.ir/car/detail-dglms8zn-bmw-5seriessedan-528i-2014,2025-11-10
ب ام و، سری 5 سدان,2009,"102,500 km",530xi,توافقی,negotiable,https://bama.ir/car/detail-pct2ywtl-bmw-5seriessedan-530xi-2009,2025-11-10
ب ام و، سری 5 سدان,2015,"92,000 km",528i,توافقی,negotiable,https://bama.ir/car/detail-1qryc2ao-bmw-5seriessedan-528i-2015,2025-11-10
ب ام و، سری 5 سدان,2017,صفر کیلومتر,530i,توافقی,negotiable,https://bama.ir/car/detail-x1rwtpto-bmw-5seriessedan-530i-2017,2025-11-10
ب ام و، سری 5 سدان,2018,"9,500 km",530i,14500000000,fixed,https://bama.ir/car/detail-mk2bv8og-bmw-5seriessedan-530i-2018,2025-11-10
ب ام و، سری 5 سدان,2009,"185,000 km",523i,3000000000,fixed,https://bama.ir/car/detail-drcixq1e-bmw-5seriessedan-523i-2009,2025-11-10
ب ام و، سری 5 سدان,2013,"130,000 km",528i,6350000000,fixed,https://bama.ir/car/detail-jup2rlww-bmw-5seriessedan-528i-2013,2025-11-10
ب ام و، سری 5 سدان,2014,"85,000 km",520i,7121000000,fixed,https://bama.ir/car/detail-h9gz8hlg-bmw-5seriessedan-520i-2014,2025-11-10
ب ام و، سری 5 سدان,2013,"40,000 km",520i,توافقی,negotiable,https://bama.ir/car/detail-jgt30aqw-bmw-5seriessedan-520i-2013,2025-11-10
ب ام و، سری 5 سدان,2017,"8,000 km",530i,توافقی,negotiable,https://bama.ir/car/detail-asln1irg-bmw-5seriessedan-530i-2017,2025-11-10
ب ام و، سری 5 سدان,2014,"67,000 km",520i,7200000000,fixed,https://bama.ir/car/detail-bjteo3bf-bmw-5seriessedan-520i-2014,2025-11-10
ب ام و، سری 5 سدان,2014,"150,000 km",528i,توافقی,negotiable,https://bama.ir/car/detail-hberztvx-bmw-5seriessedan-528i-2014,2025-11-10
ب ام و، سری 6 کوپه,2009,"110,000 km",630i,توافقی,negotiable,https://bama.ir/car/detail-zaijdp1e-bmw-6seriescoupe-630i-2009,2025-11-10
ب ام و، سری 7,2017,"70,000 km",730li,15800000000,fixed,https://bama.ir/car/detail-80jp2sch-bmw-7series-730li-2017,2025-11-10
ب ام و، سری 7,2017,"60,000 km",730li,14200000000,fixed,https://bama.ir/car/detail-dhpjcdr0-bmw-7series-730li-2017,2025-11-10
ب ام و، سری 7,2005,"180,000 km",730i,توافقی,negotiable,https://bama.ir/car/detail-ynyumwcr-bmw-7series-730i-2005,2025-11-10
ب ام و، سری 7,2017,"9,000 km",730li,توافقی,negotiable,https://bama.ir/car/detail-6cbzunrm-bmw-7series-730li-2017,2025-11-10
ب ام و، سری 7,2017,"12,000 km",730li,18500000000,fixed,https://bama.ir/car/detail-hcbzqx5m-bmw-7series-730li-2017,2025-11-10
ب ام و، سری 7,2017,"30,000 km",730li,توافقی,negotiable,https://bama.ir/car/detail-fomzl7ci-bmw-7series-730li-2017,2025-11-10
ب ام و، سری 7,2017,"60,000 km",730li,توافقی,negotiable,https://bama.ir/car/detail-kycphzo7-bmw-7series-730li-2017,2025-11-10
ب ام و، سری 7,2008,"290,000 km",740li,توافقی,negotiable,https://bama.ir/car/detail-ictypzto-bmw-7series-740li-2008,2025-11-10
ب ام و، سری 7,2017,صفر کیلومتر,730li,21000000000,fixed,https://bama.ir/car/detail-1l7pfvc4-bmw-7series-730li-2017,2025-11-10
ب ام و، سری i,2015,"12,000 km",i8,توافقی,negotiable,https://bama.ir/car/detail-ogytbrsh-bmw-iseries-i8-2015,2025-11-10
ب ام و، سری i,2015,"12,000 km",i8,توافقی,negotiable,https://bama.ir/car/detail-w3dlvmh7-bmw-iseries-i8-2015,2025-11-10
ب ام و، سری i,2015,"120,000 km",i8,توافقی,negotiable,https://bama.ir/car/detail-nxc5ddbg-bmw-iseries-i8-2015,2025-11-10
برلیانس، H330,1396,"100,000 km",1.65 اتوماتیک,915000000,fixed,https://bama.ir/car/detail-upqxh1mk-brilliance-h330-at1.65-1396,2025-11-10
برلیانس، H330,1397,"142,000 km",1.65 اتوماتیک,1060000000,fixed,https://bama.ir/car/detail-obry7lkv-brilliance-h330-at1.65-1397,2025-11-10
بسترن، B50F,1395,"94,000 km",اتوماتیک,1110000000,fixed,https://bama.ir/car/detail-idrfdotm-besturn-b50f-1395,2025-11-10
